,1000000.0,630957.3,398107.2,251188.6,158489.3,100000.0,63095.73,39810.72,25118.86,15848.93,10000.0,6309.573,3981.072,2511.886,1584.893,1000.0,630.9573,398.1072,251.1886,158.4893,100.0,63.09574,39.81071,25.11886,15.84893,10.0,6.309574,3.981072,2.511887,1.584893,1.0
H2O_IDE_1-1,167.9181,180.6383,185.3981,185.0451,187.4389,187.8096,188.8901,190.1073,191.8084,193.9298,196.4756,199.4463,202.9708,207.278,212.7596,220.0674,229.803,242.1725,256.5843,275.3665,297.603,325.005,360.0193,405.477,465.2448,543.5989,647.8556,789.5834,979.6187,1241.764,1599.384
H2O_IDE_1-2,166.306,178.6876,183.5227,185.1886,185.7434,186.2599,187.7556,189.2284,191.2287,193.7251,196.7911,200.4129,204.7509,209.913,216.1474,223.8688,233.6871,246.0503,261.2282,280.6912,304.1368,333.0695,369.5125,416.7624,479.8485,563.717,674.4267,827.3142,1033.168,1315.19,1699.251
H2O_IDE_1-3,168.4623,167.1841,186.6585,186.5383,189.1942,189.9215,191.3632,192.9139,194.9837,197.5831,200.7883,204.5847,209.0898,214.397,220.7752,228.5463,238.2595,250.376,265.3117,284.3892,307.6484,336.5954,373.3916,421.706,486.1425,572.7405,688.8968,849.7888,1066.533,1361.823,1781.257
H2O_IDE_1-4,171.057,170.5397,190.5751,190.7186,192.9748,194.2354,195.4693,197.0283,199.1846,201.974,205.3542,209.361,214.1396,219.7083,226.3027,234.2378,244.0207,256.2548,271.119,290.195,313.4659,342.6436,379.8739,428.9243,495.1817,584.572,706.0435,875.1371,1104.261,1419.213,1862.456
H2O_IDE_1-5,141.7646,172.72,187.2413,193.3165,195.5911,196.8901,197.2631,198.3032,200.2696,203.0406,206.5891,210.7834,215.7332,221.5189,228.2792,236.4061,246.2432,258.419,273.1859,292.208,315.521,344.5685,382.0198,431.6329,498.9101,591.4539,716.5122,893.1801,1133.052,1452.458,1939.909
H2O_IDE_2-1,161.7436,206.4536,232.5467,246.5441,254.3769,259.9689,265.4557,271.307,278.4327,287.1833,297.839,310.5801,325.7171,343.8795,365.7128,391.9789,423.984,462.849,509.3326,568.4204,639.9753,726.9166,832.3132,958.7675,1110.338,1290.702,1500.689,1747.15,2056.945,2421.807,2853.447
H2O_IDE_2-2,163.3794,209.1971,236.1224,250.5744,258.635,264.31,269.8867,275.8816,283.3466,292.5248,303.7339,316.9414,332.5386,350.7238,371.8947,396.6969,425.9279,460.4781,502.5555,553.4111,615.8054,693.0313,789.2642,908.7272,1056.438,1237.137,1456.204,1718.27,2041.524,2420.041,2865.408
H2O_IDE_2-3,165.0389,212.1193,240.1169,255.1869,263.6086,269.541,275.2338,281.3946,289.1355,298.8833,311.0051,325.6826,343.0423,363.2446,386.6142,413.5379,444.8532,481.152,524.8297,576.8481,639.9248,717.732,813.9844,933.6415,1081.739,1262.912,1483.52,1747.945,2074.822,2455.453,2935.87
H2O_IDE_2-4,166.6178,215.1708,244.3167,260.1696,268.997,275.2066,281.0701,287.4324,295.4315,305.6809,318.6179,334.5467,353.6028,375.8426,401.4698,430.7261,464.2437,502.9956,548.9147,603.1807,668.441,748.3671,847.1038,968.5903,1119.355,1303.086,1525.699,1794.074,2121.454,2504.108,2982.427
